Order Reference,Vendor,Order Deadline,Expected Arrival,Vendor Reference,Order Lines/Products,Order Lines/Quantity,Order Lines/Unit Price,Order Lines/Taxes,Payment Terms
PO2025-0369,Supplier 17,2025-11-17,2025-11-24,VREF-7391,PROD043,37,441.32,TVA 20%,End of Month
PO2025-0370,Supplier 17,2025-10-22,2025-10-26,VREF-1898,P0010,49,42.73,TVA 20%,Immediate Payment
PO2025-0370,Supplier 17,2025-10-22,2025-10-26,VREF-1898,P0001,4,380.47,TVA 20%,Immediate Payment
PO2025-0371,Supplier 22,2025-12-05,2025-12-11,VREF-8339,PROD009,18,347.46,TVA 20%,End of Month
PO2025-0371,Supplier 22,2025-12-05,2025-12-11,VREF-8339,PROD022,15,228.77,TVA 20%,End of Month
PO2025-0372,Supplier 15,2025-11-11,2025-11-15,VREF-5875,PROD019,28,55.83,TVA 20%,Immediate Payment
PO2025-0372,Supplier 15,2025-11-11,2025-11-15,VREF-5875,P0004,16,92.25,TVA 20%,Immediate Payment
PO2025-0372,Supplier 15,2025-11-11,2025-11-15,VREF-5875,P0015,20,494.23,TVA 20%,Immediate Payment
PO2025-0372,Supplier 15,2025-11-11,2025-11-15,VREF-5875,PROD042,36,287.78,TVA 20%,Immediate Payment
PO2025-0373,Supplier 18,2025-11-01,2025-11-04,VREF-7591,PROD008,40,269.36,TVA 20%,15 Days
PO2025-0373,Supplier 18,2025-11-01,2025-11-04,VREF-7591,P0015,41,462.13,TVA 20%,15 Days
PO2025-0373,Supplier 18,2025-11-01,2025-11-04,VREF-7591,P0004,8,107.61,TVA 20%,15 Days
PO2025-0374,Supplier 18,2025-11-08,2025-11-10,VREF-4311,PROD016,18,401.65,TVA 20%,15 Days
PO2025-0374,Supplier 18,2025-11-08,2025-11-10,VREF-4311,PROD009,26,139.02,TVA 20%,15 Days
PO2025-0375,Supplier 10,2025-10-10,2025-10-18,VREF-9441,PROD006,15,336.57,TVA 20%,15 Days
PO2025-0375,Supplier 10,2025-10-10,2025-10-18,VREF-9441,PROD031,29,204.97,TVA 20%,15 Days
PO2025-0376,Supplier 22,2025-10-30,2025-11-07,VREF-6087,P0012,50,431.66,TVA 20%,30 Days
PO2025-0376,Supplier 22,2025-10-30,2025-11-07,VREF-6087,PROD018,24,214.25,TVA 20%,30 Days
PO2025-0376,Supplier 22,2025-10-30,2025-11-07,VREF-6087,PROD024,44,391.96,TVA 20%,30 Days
PO2025-0376,Supplier 22,2025-10-30,2025-11-07,VREF-6087,PROD002,29,123.31,TVA 20%,30 Days
PO2025-0377,Supplier 11,2025-09-26,2025-09-30,VREF-5895,P0029,40,350.12,TVA 20%,15 Days
PO2025-0377,Supplier 11,2025-09-26,2025-09-30,VREF-5895,P0023,47,200.9,TVA 20%,15 Days
PO2025-0378,Supplier 10,2025-09-05,2025-09-08,VREF-2158,P0017,1,354.36,TVA 20%,End of Month
PO2025-0379,Supplier 18,2025-10-28,2025-11-03,VREF-4078,P0011,26,31.55,TVA 20%,End of Month
PO2025-0379,Supplier 18,2025-10-28,2025-11-03,VREF-4078,PROD032,1,226.26,TVA 20%,End of Month
PO2025-0379,Supplier 18,2025-10-28,2025-11-03,VREF-4078,PROD043,49,381.52,TVA 20%,End of Month
PO2025-0380,Supplier 18,2025-11-24,2025-12-01,VREF-8688,P0005,41,20.5,TVA 20%,End of Month
PO2025-0380,Supplier 18,2025-11-24,2025-12-01,VREF-8688,PROD014,18,173.43,TVA 20%,End of Month
PO2025-0381,Supplier 4,2025-09-24,2025-09-27,VREF-1559,PROD023,3,266.54,TVA 20%,30 Days
PO2025-0381,Supplier 4,2025-09-24,2025-09-27,VREF-1559,PROD044,7,348.94,TVA 20%,30 Days
PO2025-0381,Supplier 4,2025-09-24,2025-09-27,VREF-1559,P0024,49,124.23,TVA 20%,30 Days
PO2025-0381,Supplier 4,2025-09-24,2025-09-27,VREF-1559,PROD008,11,222.86,TVA 20%,30 Days
PO2025-0382,Supplier 14,2025-11-01,2025-11-03,VREF-7446,P0008,39,44.34,TVA 20%,15 Days
PO2025-0382,Supplier 14,2025-11-01,2025-11-03,VREF-7446,PROD034,40,10.72,TVA 20%,15 Days
PO2025-0382,Supplier 14,2025-11-01,2025-11-03,VREF-7446,PROD032,26,386.65,TVA 20%,15 Days
PO2025-0383,Supplier 13,2025-10-18,2025-10-24,VREF-7018,P0011,48,59.58,TVA 20%,30 Days
PO2025-0383,Supplier 13,2025-10-18,2025-10-24,VREF-7018,PROD032,42,20.76,TVA 20%,30 Days
PO2025-0383,Supplier 13,2025-10-18,2025-10-24,VREF-7018,P0030,43,303.83,TVA 20%,30 Days
PO2025-0383,Supplier 13,2025-10-18,2025-10-24,VREF-7018,PROD030,29,87.92,TVA 20%,30 Days
PO2025-0384,Supplier 23,2025-12-06,2025-12-12,VREF-2116,PROD016,31,180.4,TVA 20%,End of Month
PO2025-0384,Supplier 23,2025-12-06,2025-12-12,VREF-2116,PROD042,49,287.18,TVA 20%,End of Month
PO2025-0384,Supplier 23,2025-12-06,2025-12-12,VREF-2116,PROD042,3,166.71,TVA 20%,End of Month
PO2025-0384,Supplier 23,2025-12-06,2025-12-12,VREF-2116,PROD014,16,369.83,TVA 20%,End of Month
PO2025-0385,Supplier 10,2025-10-28,2025-11-01,VREF-3488,PROD042,37,252.51,TVA 20%,End of Month
PO2025-0385,Supplier 10,2025-10-28,2025-11-01,VREF-3488,PROD050,33,17.63,TVA 20%,End of Month
PO2025-0385,Supplier 10,2025-10-28,2025-11-01,VREF-3488,P0029,25,153.78,TVA 20%,End of Month
PO2025-0386,Supplier 3,2025-10-03,2025-10-06,VREF-7654,PROD036,12,200.18,TVA 20%,End of Month
PO2025-0386,Supplier 3,2025-10-03,2025-10-06,VREF-7654,PROD031,15,324.3,TVA 20%,End of Month
PO2025-0387,Supplier 15,2025-11-28,2025-12-03,VREF-8486,PROD036,42,139.8,TVA 20%,30 Days
PO2025-0387,Supplier 15,2025-11-28,2025-12-03,VREF-8486,PROD022,36,29.46,TVA 20%,30 Days
PO2025-0387,Supplier 15,2025-11-28,2025-12-03,VREF-8486,PROD028,1,435.35,TVA 20%,30 Days
PO2025-0388,Supplier 22,2025-11-03,2025-11-08,VREF-5445,P0003,25,326.96,TVA 20%,End of Month
PO2025-0389,Supplier 7,2025-10-17,2025-10-26,VREF-6373,P0029,13,275.26,TVA 20%,Immediate Payment
PO2025-0389,Supplier 7,2025-10-17,2025-10-26,VREF-6373,PROD005,12,409.86,TVA 20%,Immediate Payment
PO2025-0390,Supplier 11,2025-11-03,2025-11-10,VREF-6432,P0021,48,11.93,TVA 20%,Immediate Payment
PO2025-0390,Supplier 11,2025-11-03,2025-11-10,VREF-6432,P0018,27,442.94,TVA 20%,Immediate Payment
PO2025-0390,Supplier 11,2025-11-03,2025-11-10,VREF-6432,PROD013,6,150.07,TVA 20%,Immediate Payment
PO2025-0391,Supplier 9,2025-11-04,2025-11-06,VREF-3021,PROD026,30,47.28,TVA 20%,15 Days
PO2025-0391,Supplier 9,2025-11-04,2025-11-06,VREF-3021,PROD048,17,179.47,TVA 20%,15 Days
PO2025-0391,Supplier 9,2025-11-04,2025-11-06,VREF-3021,PROD050,33,239.31,TVA 20%,15 Days
PO2025-0391,Supplier 9,2025-11-04,2025-11-06,VREF-3021,PROD036,31,464.2,TVA 20%,15 Days
PO2025-0392,Supplier 20,2025-09-08,2025-09-11,VREF-1635,PROD036,23,405.5,TVA 20%,15 Days
PO2025-0393,Supplier 32,2025-12-04,2025-12-10,VREF-8469,P0018,9,437.41,TVA 20%,15 Days
PO2025-0394,Supplier 16,2025-09-25,2025-09-29,VREF-7715,PROD028,6,479.19,TVA 20%,End of Month
PO2025-0394,Supplier 16,2025-09-25,2025-09-29,VREF-7715,PROD024,50,351.25,TVA 20%,End of Month
PO2025-0395,Supplier 31,2025-09-21,2025-10-01,VREF-4451,PROD040,31,230.34,TVA 20%,30 Days
PO2025-0395,Supplier 31,2025-09-21,2025-10-01,VREF-4451,P0028,19,27.69,TVA 20%,30 Days
PO2025-0396,Supplier 23,2025-10-09,2025-10-13,VREF-3486,P0007,2,201.47,TVA 20%,30 Days
PO2025-0397,Supplier 32,2025-12-06,2025-12-13,VREF-9574,PROD007,45,178.07,TVA 20%,15 Days
PO2025-0397,Supplier 32,2025-12-06,2025-12-13,VREF-9574,PROD026,22,244.75,TVA 20%,15 Days
PO2025-0397,Supplier 32,2025-12-06,2025-12-13,VREF-9574,PROD041,46,358.15,TVA 20%,15 Days
PO2025-0397,Supplier 32,2025-12-06,2025-12-13,VREF-9574,PROD026,33,101.42,TVA 20%,15 Days
PO2025-0398,Supplier 21,2025-11-14,2025-11-20,VREF-7569,PROD040,13,187.2,TVA 20%,15 Days
PO2025-0399,Supplier 3,2025-11-23,2025-11-26,VREF-8001,PROD032,42,132.66,TVA 20%,15 Days
PO2025-0400,Supplier 5,2025-09-07,2025-09-09,VREF-8599,P0010,46,73.98,TVA 20%,Immediate Payment
PO2025-0400,Supplier 5,2025-09-07,2025-09-09,VREF-8599,P0011,41,334.72,TVA 20%,Immediate Payment
PO2025-0401,Supplier 6,2025-09-22,2025-10-01,VREF-2605,P0009,30,87.02,TVA 20%,Immediate Payment
PO2025-0401,Supplier 6,2025-09-22,2025-10-01,VREF-2605,PROD026,23,37.3,TVA 20%,Immediate Payment
PO2025-0401,Supplier 6,2025-09-22,2025-10-01,VREF-2605,PROD019,15,164.59,TVA 20%,Immediate Payment
PO2025-0401,Supplier 6,2025-09-22,2025-10-01,VREF-2605,PROD026,30,425.13,TVA 20%,Immediate Payment
PO2025-0402,Supplier 31,2025-09-06,2025-09-14,VREF-8042,PROD016,8,188.89,TVA 20%,30 Days
PO2025-0402,Supplier 31,2025-09-06,2025-09-14,VREF-8042,PROD013,24,302.37,TVA 20%,30 Days
PO2025-0402,Supplier 31,2025-09-06,2025-09-14,VREF-8042,PROD023,2,482.86,TVA 20%,30 Days
PO2025-0402,Supplier 31,2025-09-06,2025-09-14,VREF-8042,P0009,49,40.25,TVA 20%,30 Days
PO2025-0403,Supplier 27,2025-11-01,2025-11-06,VREF-8096,P0018,41,488.26,TVA 20%,30 Days
PO2025-0404,Supplier 5,2025-09-27,2025-10-03,VREF-7813,P0023,7,113.23,TVA 20%,End of Month
PO2025-0404,Supplier 5,2025-09-27,2025-10-03,VREF-7813,PROD037,3,217.32,TVA 20%,End of Month
PO2025-0404,Supplier 5,2025-09-27,2025-10-03,VREF-7813,P0007,24,215.44,TVA 20%,End of Month
PO2025-0404,Supplier 5,2025-09-27,2025-10-03,VREF-7813,P0020,5,72.03,TVA 20%,End of Month
PO2025-0405,Supplier 27,2025-10-01,2025-10-07,VREF-3037,P0020,48,363.28,TVA 20%,30 Days
PO2025-0405,Supplier 27,2025-10-01,2025-10-07,VREF-3037,P0025,21,487.98,TVA 20%,30 Days
PO2025-0406,Supplier 32,2025-10-10,2025-10-19,VREF-8035,PROD044,6,75.48,TVA 20%,End of Month
PO2025-0406,Supplier 32,2025-10-10,2025-10-19,VREF-8035,P0013,22,493.84,TVA 20%,End of Month
PO2025-0406,Supplier 32,2025-10-10,2025-10-19,VREF-8035,PROD006,39,85.35,TVA 20%,End of Month
PO2025-0407,Supplier 17,2025-09-10,2025-09-15,VREF-7951,P0007,29,298.13,TVA 20%,15 Days
PO2025-0407,Supplier 17,2025-09-10,2025-09-15,VREF-7951,PROD023,15,253.28,TVA 20%,15 Days
PO2025-0407,Supplier 17,2025-09-10,2025-09-15,VREF-7951,PROD050,50,299.48,TVA 20%,15 Days
PO2025-0407,Supplier 17,2025-09-10,2025-09-15,VREF-7951,P0004,44,323.82,TVA 20%,15 Days
PO2025-0408,Supplier 1,2025-09-09,2025-09-14,VREF-7011,PROD046,29,210.95,TVA 20%,15 Days
PO2025-0408,Supplier 1,2025-09-09,2025-09-14,VREF-7011,PROD042,1,64.53,TVA 20%,15 Days
PO2025-0408,Supplier 1,2025-09-09,2025-09-14,VREF-7011,PROD002,1,105.12,TVA 20%,15 Days
PO2025-0408,Supplier 1,2025-09-09,2025-09-14,VREF-7011,P0007,44,304.02,TVA 20%,15 Days
PO2025-0409,Supplier 21,2025-10-06,2025-10-13,VREF-5449,P0015,17,389.76,TVA 20%,30 Days
PO2025-0410,Supplier 10,2025-12-02,2025-12-07,VREF-1988,PROD043,46,138.2,TVA 20%,Immediate Payment
PO2025-0410,Supplier 10,2025-12-02,2025-12-07,VREF-1988,P0014,23,305.32,TVA 20%,Immediate Payment
PO2025-0410,Supplier 10,2025-12-02,2025-12-07,VREF-1988,PROD005,48,51.63,TVA 20%,Immediate Payment
PO2025-0411,Supplier 20,2025-10-23,2025-10-30,VREF-7174,PROD016,8,38.41,TVA 20%,30 Days
PO2025-0411,Supplier 20,2025-10-23,2025-10-30,VREF-7174,P0016,50,72.83,TVA 20%,30 Days
PO2025-0412,Supplier 24,2025-12-05,2025-12-13,VREF-9339,PROD029,46,398.13,TVA 20%,30 Days
PO2025-0412,Supplier 24,2025-12-05,2025-12-13,VREF-9339,PROD020,33,164.28,TVA 20%,30 Days
PO2025-0412,Supplier 24,2025-12-05,2025-12-13,VREF-9339,PROD006,13,205.74,TVA 20%,30 Days
PO2025-0413,Supplier 21,2025-10-03,2025-10-12,VREF-4393,P0006,49,348.61,TVA 20%,15 Days
PO2025-0413,Supplier 21,2025-10-03,2025-10-12,VREF-4393,PROD003,36,262.34,TVA 20%,15 Days
PO2025-0413,Supplier 21,2025-10-03,2025-10-12,VREF-4393,P0027,41,311.65,TVA 20%,15 Days
PO2025-0414,Supplier 28,2025-09-18,2025-09-23,VREF-8011,PROD016,29,206.26,TVA 20%,Immediate Payment
PO2025-0414,Supplier 28,2025-09-18,2025-09-23,VREF-8011,P0026,31,479.69,TVA 20%,Immediate Payment
PO2025-0414,Supplier 28,2025-09-18,2025-09-23,VREF-8011,PROD037,40,408.58,TVA 20%,Immediate Payment
PO2025-0414,Supplier 28,2025-09-18,2025-09-23,VREF-8011,PROD005,17,58.69,TVA 20%,Immediate Payment
PO2025-0415,Supplier 1,2025-10-02,2025-10-10,VREF-1471,P0005,34,120.84,TVA 20%,Immediate Payment
PO2025-0415,Supplier 1,2025-10-02,2025-10-10,VREF-1471,PROD017,21,429.08,TVA 20%,Immediate Payment
PO2025-0416,Supplier 2,2025-11-05,2025-11-15,VREF-6903,PROD048,34,329.87,TVA 20%,Immediate Payment
PO2025-0416,Supplier 2,2025-11-05,2025-11-15,VREF-6903,PROD034,25,229.21,TVA 20%,Immediate Payment
PO2025-0416,Supplier 2,2025-11-05,2025-11-15,VREF-6903,PROD040,29,153.15,TVA 20%,Immediate Payment
PO2025-0416,Supplier 2,2025-11-05,2025-11-15,VREF-6903,PROD043,18,359.34,TVA 20%,Immediate Payment
PO2025-0417,Supplier 8,2025-12-01,2025-12-06,VREF-6262,PROD036,7,439.45,TVA 20%,Immediate Payment
PO2025-0418,Supplier 14,2025-09-08,2025-09-17,VREF-7752,P0007,28,408.86,TVA 20%,Immediate Payment
PO2025-0418,Supplier 14,2025-09-08,2025-09-17,VREF-7752,P0002,47,23.2,TVA 20%,Immediate Payment
PO2025-0418,Supplier 14,2025-09-08,2025-09-17,VREF-7752,PROD020,37,280.46,TVA 20%,Immediate Payment
PO2025-0418,Supplier 14,2025-09-08,2025-09-17,VREF-7752,P0003,24,217.65,TVA 20%,Immediate Payment
PO2025-0419,Supplier 19,2025-09-30,2025-10-07,VREF-3172,PROD012,37,71.29,TVA 20%,End of Month
PO2025-0420,Supplier 20,2025-09-23,2025-09-25,VREF-2717,PROD044,2,183.43,TVA 20%,15 Days
PO2025-0420,Supplier 20,2025-09-23,2025-09-25,VREF-2717,P0016,6,403.16,TVA 20%,15 Days
PO2025-0420,Supplier 20,2025-09-23,2025-09-25,VREF-2717,P0028,8,103.36,TVA 20%,15 Days
PO2025-0421,Supplier 25,2025-11-18,2025-11-20,VREF-4934,PROD012,10,492.07,TVA 20%,End of Month
PO2025-0422,Supplier 25,2025-09-29,2025-10-02,VREF-2704,PROD016,6,324.88,TVA 20%,30 Days
PO2025-0422,Supplier 25,2025-09-29,2025-10-02,VREF-2704,PROD040,4,286.45,TVA 20%,30 Days
PO2025-0423,Supplier 24,2025-11-05,2025-11-10,VREF-7127,PROD045,10,321.34,TVA 20%,30 Days
PO2025-0424,Supplier 10,2025-11-05,2025-11-11,VREF-9728,PROD045,13,296.92,TVA 20%,30 Days
PO2025-0424,Supplier 10,2025-11-05,2025-11-11,VREF-9728,PROD027,33,182.21,TVA 20%,30 Days
PO2025-0424,Supplier 10,2025-11-05,2025-11-11,VREF-9728,PROD035,13,435.07,TVA 20%,30 Days
PO2025-0425,Supplier 19,2025-12-09,2025-12-17,VREF-1251,PROD036,21,380.24,TVA 20%,Immediate Payment
PO2025-0426,Supplier 3,2025-11-14,2025-11-21,VREF-1842,P0027,31,121.07,TVA 20%,30 Days
PO2025-0427,Supplier 27,2025-10-27,2025-10-31,VREF-9302,PROD024,19,423.71,TVA 20%,End of Month
PO2025-0427,Supplier 27,2025-10-27,2025-10-31,VREF-9302,PROD005,18,369.05,TVA 20%,End of Month
PO2025-0427,Supplier 27,2025-10-27,2025-10-31,VREF-9302,PROD024,46,232.52,TVA 20%,End of Month
PO2025-0428,Supplier 13,2025-09-14,2025-09-20,VREF-4450,P0021,35,333.62,TVA 20%,15 Days
PO2025-0428,Supplier 13,2025-09-14,2025-09-20,VREF-4450,PROD046,34,225.54,TVA 20%,15 Days
PO2025-0428,Supplier 13,2025-09-14,2025-09-20,VREF-4450,PROD015,24,146.84,TVA 20%,15 Days
PO2025-0428,Supplier 13,2025-09-14,2025-09-20,VREF-4450,PROD010,19,267.51,TVA 20%,15 Days
PO2025-0429,Supplier 1,2025-10-16,2025-10-18,VREF-2829,P0003,3,245.55,TVA 20%,15 Days
PO2025-0429,Supplier 1,2025-10-16,2025-10-18,VREF-2829,PROD040,17,282.4,TVA 20%,15 Days
PO2025-0430,Supplier 16,2025-11-02,2025-11-04,VREF-7569,PROD023,22,335.67,TVA 20%,15 Days
PO2025-0431,Supplier 23,2025-11-14,2025-11-22,VREF-9493,PROD049,34,264.2,TVA 20%,Immediate Payment
PO2025-0431,Supplier 23,2025-11-14,2025-11-22,VREF-9493,P0001,36,16.24,TVA 20%,Immediate Payment
PO2025-0431,Supplier 23,2025-11-14,2025-11-22,VREF-9493,P0022,1,473.74,TVA 20%,Immediate Payment
PO2025-0431,Supplier 23,2025-11-14,2025-11-22,VREF-9493,P0002,2,458.56,TVA 20%,Immediate Payment
PO2025-0432,Supplier 30,2025-09-28,2025-10-08,VREF-5161,PROD025,14,25.54,TVA 20%,End of Month
PO2025-0432,Supplier 30,2025-09-28,2025-10-08,VREF-5161,PROD041,40,237.82,TVA 20%,End of Month
PO2025-0432,Supplier 30,2025-09-28,2025-10-08,VREF-5161,PROD038,12,64.1,TVA 20%,End of Month
PO2025-0432,Supplier 30,2025-09-28,2025-10-08,VREF-5161,P0030,45,30.57,TVA 20%,End of Month
PO2025-0433,Supplier 2,2025-09-09,2025-09-19,VREF-9030,P0005,13,271.77,TVA 20%,Immediate Payment
PO2025-0433,Supplier 2,2025-09-09,2025-09-19,VREF-9030,PROD017,14,286.53,TVA 20%,Immediate Payment
PO2025-0434,Supplier 2,2025-09-21,2025-09-30,VREF-9589,PROD047,39,42.12,TVA 20%,End of Month
PO2025-0435,Supplier 2,2025-09-17,2025-09-19,VREF-6904,PROD046,7,433.1,TVA 20%,End of Month
PO2025-0436,Supplier 8,2025-10-25,2025-10-31,VREF-7891,PROD014,40,12.47,TVA 20%,Immediate Payment
PO2025-0436,Supplier 8,2025-10-25,2025-10-31,VREF-7891,PROD013,27,40.33,TVA 20%,Immediate Payment
PO2025-0436,Supplier 8,2025-10-25,2025-10-31,VREF-7891,PROD044,8,36.8,TVA 20%,Immediate Payment
PO2025-0437,Supplier 26,2025-10-05,2025-10-15,VREF-2592,PROD040,8,217.71,TVA 20%,Immediate Payment
PO2025-0438,Supplier 6,2025-09-22,2025-09-24,VREF-1306,PROD046,28,52.27,TVA 20%,30 Days
PO2025-0439,Supplier 18,2025-09-17,2025-09-19,VREF-8009,P0025,5,355.87,TVA 20%,30 Days
PO2025-0439,Supplier 18,2025-09-17,2025-09-19,VREF-8009,PROD010,2,348.42,TVA 20%,30 Days
PO2025-0439,Supplier 18,2025-09-17,2025-09-19,VREF-8009,P0025,10,206.68,TVA 20%,30 Days
PO2025-0439,Supplier 18,2025-09-17,2025-09-19,VREF-8009,P0006,41,83.81,TVA 20%,30 Days
PO2025-0440,Supplier 6,2025-10-16,2025-10-22,VREF-2185,PROD047,6,276.48,TVA 20%,Immediate Payment
PO2025-0440,Supplier 6,2025-10-16,2025-10-22,VREF-2185,PROD002,16,329.1,TVA 20%,Immediate Payment
PO2025-0440,Supplier 6,2025-10-16,2025-10-22,VREF-2185,P0007,46,411.91,TVA 20%,Immediate Payment
PO2025-0441,Supplier 7,2025-10-19,2025-10-23,VREF-9466,PROD019,9,258.44,TVA 20%,15 Days
PO2025-0441,Supplier 7,2025-10-19,2025-10-23,VREF-9466,P0003,49,13.31,TVA 20%,15 Days
PO2025-0441,Supplier 7,2025-10-19,2025-10-23,VREF-9466,PROD030,16,359.67,TVA 20%,15 Days
PO2025-0441,Supplier 7,2025-10-19,2025-10-23,VREF-9466,PROD036,23,365.64,TVA 20%,15 Days
PO2025-0442,Supplier 5,2025-10-20,2025-10-30,VREF-5014,P0002,50,88.33,TVA 20%,End of Month
PO2025-0442,Supplier 5,2025-10-20,2025-10-30,VREF-5014,PROD017,38,189.4,TVA 20%,End of Month
PO2025-0442,Supplier 5,2025-10-20,2025-10-30,VREF-5014,PROD046,21,252.43,TVA 20%,End of Month
PO2025-0442,Supplier 5,2025-10-20,2025-10-30,VREF-5014,P0018,16,364.28,TVA 20%,End of Month
PO2025-0443,Supplier 21,2025-11-09,2025-11-16,VREF-4231,P0017,31,139.03,TVA 20%,30 Days
PO2025-0443,Supplier 21,2025-11-09,2025-11-16,VREF-4231,P0023,25,132.98,TVA 20%,30 Days
PO2025-0443,Supplier 21,2025-11-09,2025-11-16,VREF-4231,PROD048,3,180.39,TVA 20%,30 Days
PO2025-0443,Supplier 21,2025-11-09,2025-11-16,VREF-4231,PROD013,35,192.43,TVA 20%,30 Days
PO2025-0444,Supplier 11,2025-10-08,2025-10-11,VREF-7218,P0005,28,164.42,TVA 20%,30 Days
PO2025-0444,Supplier 11,2025-10-08,2025-10-11,VREF-7218,PROD032,42,368.2,TVA 20%,30 Days
PO2025-0444,Supplier 11,2025-10-08,2025-10-11,VREF-7218,P0026,44,71.14,TVA 20%,30 Days
PO2025-0445,Supplier 18,2025-12-10,2025-12-13,VREF-2881,PROD020,50,197.83,TVA 20%,15 Days
PO2025-0445,Supplier 18,2025-12-10,2025-12-13,VREF-2881,P0003,11,75.47,TVA 20%,15 Days
PO2025-0445,Supplier 18,2025-12-10,2025-12-13,VREF-2881,PROD029,46,61.82,TVA 20%,15 Days
PO2025-0446,Supplier 33,2025-09-22,2025-10-01,VREF-7819,P0014,47,357.31,TVA 20%,30 Days
PO2025-0446,Supplier 33,2025-09-22,2025-10-01,VREF-7819,PROD010,21,19.15,TVA 20%,30 Days
PO2025-0446,Supplier 33,2025-09-22,2025-10-01,VREF-7819,P0028,33,492.55,TVA 20%,30 Days
PO2025-0447,Supplier 13,2025-11-29,2025-12-09,VREF-9277,P0010,5,380.58,TVA 20%,15 Days
PO2025-0447,Supplier 13,2025-11-29,2025-12-09,VREF-9277,PROD001,36,269.21,TVA 20%,15 Days
PO2025-0447,Supplier 13,2025-11-29,2025-12-09,VREF-9277,P0029,15,83.79,TVA 20%,15 Days
PO2025-0448,Supplier 19,2025-10-22,2025-10-31,VREF-3097,PROD017,50,310.35,TVA 20%,Immediate Payment
PO2025-0448,Supplier 19,2025-10-22,2025-10-31,VREF-3097,PROD011,19,277.28,TVA 20%,Immediate Payment
PO2025-0449,Supplier 23,2025-11-24,2025-11-30,VREF-6026,P0024,2,150.4,TVA 20%,Immediate Payment
PO2025-0450,Supplier 10,2025-10-20,2025-10-29,VREF-9318,P0011,47,184.65,TVA 20%,Immediate Payment
PO2025-0450,Supplier 10,2025-10-20,2025-10-29,VREF-9318,PROD032,44,173.45,TVA 20%,Immediate Payment
PO2025-0451,Supplier 9,2025-11-09,2025-11-18,VREF-3638,PROD028,29,367.04,TVA 20%,Immediate Payment
PO2025-0451,Supplier 9,2025-11-09,2025-11-18,VREF-3638,P0008,39,486.87,TVA 20%,Immediate Payment
PO2025-0451,Supplier 9,2025-11-09,2025-11-18,VREF-3638,P0004,12,444.23,TVA 20%,Immediate Payment
PO2025-0452,Supplier 12,2025-09-21,2025-09-25,VREF-7096,PROD005,33,132.39,TVA 20%,15 Days
PO2025-0452,Supplier 12,2025-09-21,2025-09-25,VREF-7096,P0016,22,231.59,TVA 20%,15 Days
PO2025-0452,Supplier 12,2025-09-21,2025-09-25,VREF-7096,P0028,16,341.79,TVA 20%,15 Days
PO2025-0452,Supplier 12,2025-09-21,2025-09-25,VREF-7096,PROD019,29,178.87,TVA 20%,15 Days
PO2025-0453,Supplier 1,2025-09-11,2025-09-18,VREF-3159,PROD048,45,31.79,TVA 20%,End of Month
PO2025-0454,Supplier 1,2025-09-06,2025-09-15,VREF-4561,PROD021,43,212.75,TVA 20%,15 Days
PO2025-0454,Supplier 1,2025-09-06,2025-09-15,VREF-4561,PROD033,43,398.34,TVA 20%,15 Days
PO2025-0455,Supplier 16,2025-09-07,2025-09-14,VREF-5315,PROD049,18,252.38,TVA 20%,Immediate Payment
PO2025-0455,Supplier 16,2025-09-07,2025-09-14,VREF-5315,PROD014,12,131.29,TVA 20%,Immediate Payment
PO2025-0455,Supplier 16,2025-09-07,2025-09-14,VREF-5315,PROD004,38,136.81,TVA 20%,Immediate Payment
PO2025-0455,Supplier 16,2025-09-07,2025-09-14,VREF-5315,P0018,2,409.08,TVA 20%,Immediate Payment
PO2025-0456,Supplier 13,2025-12-10,2025-12-18,VREF-5523,P0022,12,395.42,TVA 20%,End of Month
PO2025-0456,Supplier 13,2025-12-10,2025-12-18,VREF-5523,PROD025,10,97.92,TVA 20%,End of Month
PO2025-0456,Supplier 13,2025-12-10,2025-12-18,VREF-5523,P0016,23,479.39,TVA 20%,End of Month
PO2025-0457,Supplier 28,2025-10-24,2025-10-29,VREF-8736,PROD005,17,351.38,TVA 20%,15 Days
PO2025-0457,Supplier 28,2025-10-24,2025-10-29,VREF-8736,PROD036,3,212.02,TVA 20%,15 Days
PO2025-0457,Supplier 28,2025-10-24,2025-10-29,VREF-8736,P0024,14,245.03,TVA 20%,15 Days
PO2025-0458,Supplier 23,2025-11-19,2025-11-25,VREF-3363,P0017,32,159.01,TVA 20%,Immediate Payment
PO2025-0458,Supplier 23,2025-11-19,2025-11-25,VREF-3363,PROD029,44,363.18,TVA 20%,Immediate Payment
PO2025-0458,Supplier 23,2025-11-19,2025-11-25,VREF-3363,PROD013,42,250.91,TVA 20%,Immediate Payment
PO2025-0459,Supplier 22,2025-12-08,2025-12-15,VREF-6096,P0014,27,313.37,TVA 20%,Immediate Payment
PO2025-0459,Supplier 22,2025-12-08,2025-12-15,VREF-6096,P0015,17,243.2,TVA 20%,Immediate Payment
PO2025-0459,Supplier 22,2025-12-08,2025-12-15,VREF-6096,P0030,33,399.87,TVA 20%,Immediate Payment
PO2025-0459,Supplier 22,2025-12-08,2025-12-15,VREF-6096,PROD027,18,430.83,TVA 20%,Immediate Payment
PO2025-0460,Supplier 27,2025-09-02,2025-09-09,VREF-6364,PROD038,38,182.4,TVA 20%,End of Month
